,ID,YEAR,PRCP,TMAX,TMIN
86,USC00011694,2010,1434.9,23.79498079877113,9.644895033282138
87,USC00011694,2011,1132.2,24.43762057047512,9.610873876617752
88,USC00011694,2012,1375.9,24.693041960202702,10.643364231862565
89,USC00011694,2013,1735.3,22.180615631124542,10.568488355668554
90,USC00011694,2014,1677.675,22.450607546745058,9.863548092089392
91,USC00011694,2015,1641.975,22.984458181047724,10.24021597556957
92,USC00011694,2016,1606.275,23.518308815350384,10.61688385904973
93,USC00011694,2017,1570.575,24.052159449653065,10.99355174252991
94,USC00011694,2018,1904.3,24.124717778719468,11.383548889056405
95,USC00011694,2019,1216.35,25.52676086100281,11.7956399917287
96,USC00011694,2020,1999.2,24.71969688542826,11.88734564468065
97,USC00011694,2021,1427.0,23.856219396874284,11.074262829001434
98,USC00011694,2022,1373.8,24.61276207604656,10.577164163206703
99,USC00011694,2023,1334.8,25.30246230202116,11.668730422329693
86000,USW00094967,1924,520.0,9.590985972067722,-3.073978631950453
86001,USW00094967,1925,636.85,9.877776431484717,-2.692510240655404
86002,USW00094967,1926,460.5,9.512736744040518,-4.038845223872105
86003,USW00094967,1927,619.35,8.910732206861235,-3.411917776071013
86004,USW00094967,1928,635.3,10.43901303495389,-1.9014120178905083
86005,USW00094967,1929,371.2,9.457690732206872,-3.7586394151447924
86006,USW00094967,1930,539.8,10.550838453661038,-2.421605862775223
86007,USW00094967,1931,601.2,12.798460701484892,0.31520033282130083
86008,USW00094967,1932,620.6,10.089291187739468,-2.590846001730316
86009,USW00094967,1933,726.1,11.208121568056223,-2.6056233998975986
86010,USW00094967,1934,430.90000000000003,11.417270865335382,-1.7106330005120374
86011,USW00094967,1935,656.0,10.08445338294754,-2.351694078076168
86012,USW00094967,1936,457.1,9.953300801596113,-4.176878493250377
86013,USW00094967,1937,840.3,9.684366999487972,-3.462858422939069
86014,USW00094967,1938,678.3,11.211818356374812,-2.4622740655401927
86015,USW00094967,1939,533.1,11.554745903737837,-3.998725678443424
86016,USW00094967,1940,638.2,9.926090409096519,-2.1611892843900598
86017,USW00094967,1941,650.2,11.074007936507938,-0.9963556067588378
86018,USW00094967,1942,801.9,10.454180107526879,-2.4917511520737428
86019,USW00094967,1943,600.1,9.73353558627751,-4.311500896057347
86020,USW00094967,1944,985.0,10.47147818563836,-2.192524100852802
86021,USW00094967,1945,634.0,8.732147337429593,-3.499955837173579
86022,USW00094967,1946,888.5,10.080012160778285,-2.5663191955396205
86023,USW00094967,1947,601.9,9.53995647721454,-2.759815668202767
86024,USW00094967,1948,594.7,10.233439006303291,-3.108138363613888
86025,USW00094967,1949,783.35,10.536368120663175,-2.2606011198509814
86026,USW00094967,1950,574.95,8.253390296979001,-4.63794482846903
86027,USW00094967,1951,772.2,8.467194060419873,-4.068287250384025
86028,USW00094967,1952,561.1,11.436780682239528,-2.4318055555555635
86029,USW00094967,1953,926.6,11.301368407578083,-1.7555907578085008
86030,USW00094967,1954,512.7,10.270160650281616,-2.2034613415258586
86031,USW00094967,1955,666.0,10.386961725550437,-3.583356330667241
86032,USW00094967,1956,489.0,10.14656505464626,-3.151919902184074
86033,USW00094967,1957,703.1,10.364389400921658,-2.0888594470046074
86034,USW00094967,1958,466.3,11.40896262602186,-1.902460449882591
86035,USW00094967,1959,851.3,10.70110343061956,-2.067149897593442
86036,USW00094967,1960,680.5,11.000129773822756,-2.364771659868984
86037,USW00094967,1961,580.9,11.742377112135182,-1.3620673323092716
86038,USW00094967,1962,735.1,10.667453917050688,-1.7012352790578642
86039,USW00094967,1963,639.2,11.906470814132108,-1.3217511520737373
86040,USW00094967,1964,777.2,11.240388085527139,-1.9809442590532669
86041,USW00094967,1965,801.5,9.685288658474141,-2.7663159242191484
86042,USW00094967,1966,764.8,10.115682923707125,-2.644980798771127
86043,USW00094967,1967,525.8,10.471095750128004,-2.913216845878129
86044,USW00094967,1968,764.5,11.041443270300334,-1.519278519342479
86045,USW00094967,1969,725.7,10.600383384536615,-1.7697830261136798
86046,USW00094967,1970,587.5,10.31081349206348,-2.568856246799791
86047,USW00094967,1971,748.5,10.345629800307217,-2.548968253968258
86048,USW00094967,1972,628.9,8.973066988011364,-3.8258731924360245
86049,USW00094967,1973,766.8,11.809200588837692,-1.1897753456221232
86050,USW00094967,1974,573.5,10.82012928827445,-2.0139388120839743
86051,USW00094967,1975,628.7,10.710854454685103,-2.155620199692775
86052,USW00094967,1976,318.9,11.899329192930423,-3.0245494994438302
86053,USW00094967,1977,790.8,11.18250704045059,-1.8737909626216018
86054,USW00094967,1978,542.8000000000001,10.555654121863794,-2.7507654889913034
86055,USW00094967,1979,648.7,9.228881848438304,-3.3879217869943616
86056,USW00094967,1980,525.7,11.075697379804714,-2.518472376714865
86057,USW00094967,1981,713.5,11.780380184331797,-1.0745974142345067
86058,USW00094967,1982,713.2,9.774952210274796,-3.874211469534052
86059,USW00094967,1983,706.6,10.939774705581163,-1.6386795954941036
86060,USW00094967,1984,563.8,11.408314176245208,-2.74914349276975
86061,USW00094967,1985,1029.8,9.195407066052235,-3.228723118279573
86062,USW00094967,1986,865.95,10.420653126244522,-0.5019822779769004
86063,USW00094967,1987,666.8,12.187127496159746,1.0858653353814685
86064,USW00094967,1988,624.4,10.303159683599064,-1.8948998887652884
86065,USW00094967,1989,642.5,9.291020225294416,-3.320769329237073
86066,USW00094967,1990,501.9,12.146612903225806,-1.2118004352278569
86067,USW00094967,1991,591.1,11.360986303123397,-0.9595046082949338
86068,USW00094967,1992,517.5,10.729316215548138,-1.0455629712025714
86069,USW00094967,1993,704.5,9.551248719918073,-2.698305171530969
86070,USW00094967,1994,740.4,10.666644265232977,-1.4521402969790043
86071,USW00094967,1995,701.9,10.016633384536615,-1.698178443420373
